size,du,time
59792,1,504151060.0
59792,2,243224260.0
59792,3,166329620.0
59792,4,118815100.0
59792,5,99069180.0
59792,6,78562680.0
59792,7,68183020.0
59792,8,60144060.0
59792,9,52841540.0
59792,10,49010080.0
59792,11,47160840.0
59792,12,41181600.0
59792,13,41514920.0
59792,14,38575720.0
59792,15,32883700.0
59792,16,29919180.0
59792,17,26778520.0
59792,18,25476880.0
59792,19,24073000.0
59792,20,23923360.0
59792,21,22822700.0
59792,22,22558100.0
59792,23,23148180.0
59792,24,20619520.0
59792,25,20698900.0
59792,26,19625440.0
59792,27,19492340.0
59792,28,18041160.0
59792,29,19946820.0
59792,30,19441220.0
59792,31,17889660.0
59792,32,16042540.0
59792,33,15801400.0
59792,34,15039380.0
59792,35,17027920.0
59792,36,13975240.0
59792,37,13188860.0
59792,38,13607220.0
59792,39,13145520.0
59792,40,13078680.0
59792,41,11846500.0
59792,42,12036180.0
59792,43,12141300.0
59792,44,12506040.0
59792,45,11242360.0
59792,46,11547220.0
59792,47,11549900.0
59792,48,10506180.0
59792,49,10624060.0
59792,50,9410320.0
59792,51,9864500.0
59792,52,10163100.0
59792,53,9683220.0
59792,54,10140560.0
59792,55,9600580.0
59792,56,10155940.0
59792,57,8802540.0
59792,58,9237880.0
59792,59,8243440.0
59792,60,9262600.0
59792,61,8530120.0
59792,62,8461680.0
59792,63,8863420.0
59792,64,8508060.0
59792,65,7569060.0
59792,66,7257700.0
59792,67,7839140.0
59792,68,8012200.0
59792,69,7411320.0
59792,70,8489320.0
59792,71,9060140.0
59792,72,7567300.0
59792,73,7873240.0
59792,74,6744100.0
59792,75,6987860.0
59792,76,7168880.0
59792,77,7748960.0
59792,78,6369520.0
59792,79,7214820.0
59792,80,6855520.0
59792,81,7121680.0
59792,82,6664080.0
59792,83,6844980.0
59792,84,7879020.0
59792,85,6906380.0
59792,86,6356260.0
59792,87,6420440.0
59792,88,6847180.0
59792,89,5735760.0
59792,90,6475960.0
59792,91,6296020.0
59792,92,6168060.0
59792,93,5669060.0
59792,94,6547360.0
59792,95,5920920.0
59792,96,5580460.0
59792,97,5646240.0
59792,98,5749220.0
59792,99,5966900.0
59792,100,6075740.0
59792,101,5740180.0
59792,102,5602060.0
59792,103,5485560.0
59792,104,5411620.0
59792,105,5430020.0
59792,106,6716540.0
59792,107,5983580.0
59792,108,5448940.0
59792,109,5191960.0
59792,110,4957020.0
59792,111,5018900.0
59792,112,5658940.0
59792,113,5470820.0
59792,114,5681220.0
59792,115,5125300.0
59792,116,4667480.0
59792,117,4947060.0
59792,118,4861540.0
59792,119,4843780.0
59792,120,5043880.0
59792,121,4978580.0
59792,122,4721340.0
59792,123,4307860.0
59792,124,4983180.0
59792,125,4686220.0
59792,126,4617480.0
59792,127,4244180.0
59792,128,4487180.0
59792,129,4745720.0
59792,130,4701520.0
59792,131,4963040.0
59792,132,4459020.0
59792,133,4664060.0
59792,134,4947460.0
59792,135,4215640.0
59792,136,4439100.0
59792,137,4630280.0
59792,138,4149820.0
59792,139,4294740.0
59792,140,4905160.0
59792,141,4256840.0
59792,142,4722120.0
59792,143,4473940.0
59792,144,4282800.0
59792,145,4133040.0
59792,146,4458560.0
59792,147,3948820.0
59792,148,4478980.0
59792,149,4255880.0
59792,150,4244220.0
59792,151,3997120.0
59792,152,3888360.0
59792,153,4274860.0
59792,154,4165680.0
59792,155,4108220.0
59792,156,4564060.0
59792,157,4651060.0
59792,158,3932120.0
59792,159,3994200.0
59792,160,4412780.0
59792,161,4205500.0
59792,162,4411160.0
59792,163,4419660.0
59792,164,3569360.0
59792,165,3714080.0
59792,166,3875120.0
59792,167,3979800.0
59792,168,4443180.0
59792,169,3967680.0
59792,170,3792580.0
59792,171,3773760.0
59792,172,4212080.0
59792,173,4001560.0
59792,174,3827360.0
59792,175,3676160.0
59792,176,3635280.0
59792,177,3576500.0
59792,178,3699620.0
59792,179,3439200.0
59792,180,3083100.0
59792,181,3662160.0
59792,182,3170360.0
59792,183,3373160.0
59792,184,3399100.0
59792,185,3398540.0
59792,186,3949000.0
59792,187,3873400.0
59792,188,3708780.0
59792,189,3586500.0
59792,190,3565920.0
59792,191,3657420.0
59792,192,3236880.0
59792,193,3328400.0
59792,194,3354660.0
59792,195,3772660.0
59792,196,3286680.0
59792,197,3867740.0
59792,198,3483460.0
59792,199,3341380.0
